TASK 1 START
[Done processing AnnualCrop]
[Done processing Forest]
[Done processing HerbaceousVegetation]
[Done processing Highway]
[Done processing Industrial]
[Done processing Pasture]
[Done processing PermanentCrop]
[Done processing Residential]
[Done processing River]
[Done processing SeaLake]
[Data processing COMPLETED]
Epoch [1/5]:
  Batch [10/338], Loss: 2.4881
  Batch [20/338], Loss: 5.0146
  Batch [30/338], Loss: 7.4597
  Batch [40/338], Loss: 9.9239
  Batch [50/338], Loss: 12.3604
  Batch [60/338], Loss: 14.7440
  Batch [70/338], Loss: 17.1094
  Batch [80/338], Loss: 19.4921
  Batch [90/338], Loss: 21.7815
  Batch [100/338], Loss: 24.0914
  Batch [110/338], Loss: 26.3617
  Batch [120/338], Loss: 28.6189
  Batch [130/338], Loss: 30.8818
  Batch [140/338], Loss: 33.1562
  Batch [150/338], Loss: 35.3343
  Batch [160/338], Loss: 37.5299
  Batch [170/338], Loss: 39.7141
  Batch [180/338], Loss: 41.8562
  Batch [190/338], Loss: 43.9537
  Batch [200/338], Loss: 46.0690
  Batch [210/338], Loss: 48.1360
  Batch [220/338], Loss: 50.1837
  Batch [230/338], Loss: 52.2268
  Batch [240/338], Loss: 54.2900
  Batch [250/338], Loss: 56.3055
  Batch [260/338], Loss: 58.2774
  Batch [270/338], Loss: 60.2840
  Batch [280/338], Loss: 62.2459
  Batch [290/338], Loss: 64.1716
  Batch [300/338], Loss: 66.1235
  Batch [310/338], Loss: 68.1066
  Batch [320/338], Loss: 70.0045
  Batch [330/338], Loss: 71.9433
Epoch [2/5]:
  Batch [10/338], Loss: 1.8187
  Batch [20/338], Loss: 3.6279
  Batch [30/338], Loss: 5.4437
  Batch [40/338], Loss: 7.2663
  Batch [50/338], Loss: 9.0361
  Batch [60/338], Loss: 10.7967
  Batch [70/338], Loss: 12.5606
  Batch [80/338], Loss: 14.3176
  Batch [90/338], Loss: 16.0627
  Batch [100/338], Loss: 17.7625
  Batch [110/338], Loss: 19.4629
  Batch [120/338], Loss: 21.1262
  Batch [130/338], Loss: 22.8346
  Batch [140/338], Loss: 24.5194
  Batch [150/338], Loss: 26.2047
  Batch [160/338], Loss: 27.7999
  Batch [170/338], Loss: 29.4178
  Batch [180/338], Loss: 31.1005
  Batch [190/338], Loss: 32.6753
  Batch [200/338], Loss: 34.2472
  Batch [210/338], Loss: 35.8025
  Batch [220/338], Loss: 37.3010
  Batch [230/338], Loss: 38.8597
  Batch [240/338], Loss: 40.3875
  Batch [250/338], Loss: 41.8833
  Batch [260/338], Loss: 43.3662
  Batch [270/338], Loss: 44.8534
  Batch [280/338], Loss: 46.3132
  Batch [290/338], Loss: 47.7388
  Batch [300/338], Loss: 49.2002
  Batch [310/338], Loss: 50.6239
  Batch [320/338], Loss: 52.0327
  Batch [330/338], Loss: 53.4512
Epoch [3/5]:
  Batch [10/338], Loss: 1.3687
  Batch [20/338], Loss: 2.7865
  Batch [30/338], Loss: 4.2075
  Batch [40/338], Loss: 5.6130
  Batch [50/338], Loss: 6.9324
  Batch [60/338], Loss: 8.3045
  Batch [70/338], Loss: 9.6397
  Batch [80/338], Loss: 10.8998
  Batch [90/338], Loss: 12.1756
  Batch [100/338], Loss: 13.5196
  Batch [110/338], Loss: 14.7868
  Batch [120/338], Loss: 16.0832
  Batch [130/338], Loss: 17.3495
  Batch [140/338], Loss: 18.6399
  Batch [150/338], Loss: 19.9039
  Batch [160/338], Loss: 21.1623
  Batch [170/338], Loss: 22.4296
  Batch [180/338], Loss: 23.6717
  Batch [190/338], Loss: 24.8613
  Batch [200/338], Loss: 26.0799
  Batch [210/338], Loss: 27.2562
  Batch [220/338], Loss: 28.4151
  Batch [230/338], Loss: 29.6048
  Batch [240/338], Loss: 30.7302
  Batch [250/338], Loss: 31.8905
  Batch [260/338], Loss: 33.0560
  Batch [270/338], Loss: 34.2134
  Batch [280/338], Loss: 35.2982
  Batch [290/338], Loss: 36.3815
  Batch [300/338], Loss: 37.4827
  Batch [310/338], Loss: 38.5857
  Batch [320/338], Loss: 39.7027
  Batch [330/338], Loss: 40.7369
Epoch [4/5]:
  Batch [10/338], Loss: 1.1175
  Batch [20/338], Loss: 2.2227
  Batch [30/338], Loss: 3.3275
  Batch [40/338], Loss: 4.3727
  Batch [50/338], Loss: 5.4084
  Batch [60/338], Loss: 6.5016
  Batch [70/338], Loss: 7.5405
  Batch [80/338], Loss: 8.5625
  Batch [90/338], Loss: 9.5466
  Batch [100/338], Loss: 10.5440
  Batch [110/338], Loss: 11.5114
  Batch [120/338], Loss: 12.5201
  Batch [130/338], Loss: 13.4649
  Batch [140/338], Loss: 14.4213
  Batch [150/338], Loss: 15.4073
  Batch [160/338], Loss: 16.3967
  Batch [170/338], Loss: 17.3238
  Batch [180/338], Loss: 18.3251
  Batch [190/338], Loss: 19.2789
  Batch [200/338], Loss: 20.2163
  Batch [210/338], Loss: 21.1851
  Batch [220/338], Loss: 22.1406
  Batch [230/338], Loss: 23.0506
  Batch [240/338], Loss: 23.9539
  Batch [250/338], Loss: 24.9002
  Batch [260/338], Loss: 25.8272
  Batch [270/338], Loss: 26.7580
  Batch [280/338], Loss: 27.6938
  Batch [290/338], Loss: 28.5670
  Batch [300/338], Loss: 29.5133
  Batch [310/338], Loss: 30.3805
  Batch [320/338], Loss: 31.2653
  Batch [330/338], Loss: 32.1136
Epoch [5/5]:
  Batch [10/338], Loss: 0.8397
  Batch [20/338], Loss: 1.6781
  Batch [30/338], Loss: 2.4843
  Batch [40/338], Loss: 3.3677
  Batch [50/338], Loss: 4.2438
  Batch [60/338], Loss: 5.0918
  Batch [70/338], Loss: 5.8952
  Batch [80/338], Loss: 6.7335
  Batch [90/338], Loss: 7.4981
  Batch [100/338], Loss: 8.3408
  Batch [110/338], Loss: 9.1598
  Batch [120/338], Loss: 9.9897
  Batch [130/338], Loss: 10.7897
  Batch [140/338], Loss: 11.5781
  Batch [150/338], Loss: 12.3600
  Batch [160/338], Loss: 13.1480
  Batch [170/338], Loss: 13.9243
  Batch [180/338], Loss: 14.7300
  Batch [190/338], Loss: 15.4800
  Batch [200/338], Loss: 16.3050
  Batch [210/338], Loss: 17.0493
  Batch [220/338], Loss: 17.7805
  Batch [230/338], Loss: 18.5534
  Batch [240/338], Loss: 19.3016
  Batch [250/338], Loss: 20.0543
  Batch [260/338], Loss: 20.8167
  Batch [270/338], Loss: 21.5808
  Batch [280/338], Loss: 22.3142
  Batch [290/338], Loss: 23.0586
  Batch [300/338], Loss: 23.7863
  Batch [310/338], Loss: 24.4892
  Batch [320/338], Loss: 25.2065
  Batch [330/338], Loss: 25.9045
Loss curves saved to cv\small\curve\T1Curve.png
==============================================================
Mean Average Precision for Each Class (Validation Set):
AnnualCrop: 0.6936
Forest: 0.6937
HerbaceousVegetation: 0.6637
Highway: 0.6354
Industrial: 0.8350
Pasture: 0.3545
PermanentCrop: 0.5608
Residential: 0.7489
River: 0.4603
SeaLake: 0.8034
Mean Average Precision over all classes:: 0.6449
==============================================================
Mean Accuracy for Each Class (Validation Set):
AnnualCrop: 0.9285
Forest: 0.9397
HerbaceousVegetation: 0.9257
Highway: 0.9218
Industrial: 0.9561
Pasture: 0.9313
PermanentCrop: 0.9389
Residential: 0.9459
River: 0.9226
SeaLake: 0.8924
Mean Average Precision over all classes:: 0.9303
==============================================================
Test Metrics for Each Class (Test Set):
AnnualCrop:
  Average Precision: 100.00%
  Accuracy: 100.00%
Forest:
  Average Precision: 100.00%
  Accuracy: 100.00%
HerbaceousVegetation:
  Average Precision: 100.00%
  Accuracy: 91.67%
Highway:
  Average Precision: 25.00%
  Accuracy: 100.00%
Industrial:
  Average Precision: 50.00%
  Accuracy: 100.00%
Pasture:
  Average Precision: 25.00%
  Accuracy: 91.67%
PermanentCrop:
  Average Precision: 50.00%
  Accuracy: 100.00%
Residential:
  Average Precision: 100.00%
  Accuracy: 100.00%
River:
